hotel_id,name,city,neighborhood,distance_km,price_per_night,rating,review_count,amenities,available_rooms
H35,Kempinski Suva Business District Boutique Hotel,Suva,Business District,29.0,197,3.6,2027,Pool|Kids Club|Golf Course|Pet Friendly|Laundry|Kitchen|Cinema Room|Rooftop Lounge,32
H36,COMO Jakarta Commercial Zone Inn,Jakarta,Commercial Zone,1.8,191,4.2,1946,Cinema Room|Safe|Non-Smoking|Laundry|Coworking Space,71
H37,Paramount Rome Flaminio Lodge,Rome,Flaminio,21.3,82,3.6,609,Tennis Court|Beach Access|Yoga Studio|Bar|Balcony|Laundry|Coworking Space|Sauna,12
H38,ITC Hotel Dar es Salaam,Dar es Salaam,Commercial Zone,12.2,90,3.1,807,Hot Tub|Safe|Sauna|Airport Shuttle|Beach Access|Tennis Court|Minibar,48
H39,Park Hyatt Cancun Airport Area Beach Resort,Cancun,Airport Area,2.5,102,4.0,5334,Breakfast Included|Room Service|Beach Access|Wheelchair Accessible|Business Center|Kids Club|Restaurant|Safe|EV Charging|Minibar,36
H40,Atlantis Grand Budapest,Budapest,City Center,5.2,382,3.7,5169,Sauna|Bar|Coworking Space|WiFi|24hr Front Desk|Breakfast Included|Room Service|Wheelchair Accessible|Tennis Court,8
H41,St Regis Beach Resort Santiago,Santiago,Waterfront,1.6,135,4.7,9399,Coworking Space|Gym|Restaurant|WiFi|Minibar|Parking|Yoga Studio,1
H42,Address Hotels Beach Resort Istanbul,Istanbul,Besiktas,22.4,25,3.1,328,Airport Shuttle|Business Center|Wheelchair Accessible|Beach Access|Pool,4
H43,Holiday Inn New York Manhattan Collection,New York,Manhattan,14.0,177,4.0,2378,Coworking Space|Concierge|Gym|Hot Tub|Laundry|Beach Access|Minibar|Airport Shuttle,68
H44,Okura Mexico City Old Town Collection,Mexico City,Old Town,18.1,140,4.0,6957,Kitchen|Golf Course|Non-Smoking|WiFi|Balcony|Bar|Sauna|Garden|Coworking Space|Business Center|Room Service,22
H45,Courtyard by Marriott Grand Cebu,Cebu,City Center,10.7,141,3.5,2222,Laundry|WiFi|Concierge|Balcony|Rooftop Lounge|Wheelchair Accessible,35
H46,Accor Boutique Hotel Amsterdam,Amsterdam,Noord,11.7,62,3.7,4594,Concierge|Wheelchair Accessible|Kids Club|Kitchen|Spa|Hot Tub|Coworking Space|Pet Friendly,42
H47,Paramount Buenos Aires Downtown Residence,Buenos Aires,Downtown,7.8,48,3.8,1564,Sauna|Laundry|Breakfast Included,52
H48,Pan Pacific Boston Old Town Resort,Boston,Old Town,25.4,80,2.7,1503,24hr Front Desk|EV Charging|Library|WiFi,23
H49,Prince Hotel Palace Newark,Newark,Commercial Zone,15.4,93,3.8,1224,Yoga Studio|Business Center|Non-Smoking|Rooftop Lounge|Garden|Bar|Wheelchair Accessible,66
H50,Rocco Forte Lodge Seoul,Seoul,Bukchon,21.6,347,3.5,7646,Room Service|Coworking Space|Garden|WiFi|Pet Friendly|Kids Club|Laundry,7
H51,Westin Airport Hotel Dar es Salaam,Dar es Salaam,Old Town,32.7,376,4.7,205,Business Center|Pet Friendly|Cinema Room|Non-Smoking|Room Service|Sauna,32
H52,InterContinental Hotel Helsinki,Helsinki,Suburbs,1.7,102,3.3,102,Wheelchair Accessible|Kitchen|Non-Smoking|Coworking Space|Yoga Studio,44
H53,Waldorf Astoria Taipei Suburbs Lodge,Taipei,Suburbs,16.0,60,4.1,1798,Beach Access|Yoga Studio|EV Charging|Bar|Coworking Space|Garden|Breakfast Included,42
H54,Oaks Hotels Collection Newark,Newark,Waterfront,16.6,73,3.4,281,Yoga Studio|WiFi|Airport Shuttle|Garden|Non-Smoking|Wheelchair Accessible|Beach Access,43
H55,Accor Airport Hotel Chicago,Chicago,Waterfront,33.2,599,4.2,14063,Golf Course|Bar|Library|EV Charging|Breakfast Included|Gym|Hot Tub|24hr Front Desk|Non-Smoking|Parking|Spa,44
H56,Mandarin Oriental Stockholm Suburbs City Hotel,Stockholm,Suburbs,29.4,387,4.0,318,EV Charging|Tennis Court|Pet Friendly|Garden|Business Center|Breakfast Included|Yoga Studio|Hot Tub|Bar|Minibar|Coworking Space|Beach Access,2
H57,Renaissance Dallas City Center Hotel,Dallas,City Center,12.6,85,3.4,2949,Kitchen|Breakfast Included|Tennis Court|Wheelchair Accessible|Room Service|Pool|Non-Smoking|Business Center,55
H58,Rocco Forte Resort Moscow,Moscow,Airport Area,6.4,451,3.8,8222,Yoga Studio|Business Center|Rooftop Lounge|Parking|Wheelchair Accessible|Kids Club|Minibar|Kitchen|Garden,35
H59,Tokyu Inn Lagos,Lagos,Old Town,10.1,47,3.6,1999,Kids Club|Parking|Gym|Airport Shuttle|Pet Friendly,34
H60,Hilton Frankfurt Bockenheim Resort,Frankfurt,Bockenheim,0.8,29,2.1,48,Yoga Studio|Airport Shuttle|24hr Front Desk|Sauna,76
H61,Best Western Portland Downtown Tower,Portland,Downtown,16.4,562,4.2,5595,Gym|Kids Club|Pet Friendly|Pool|Kitchen|Balcony|Laundry|Yoga Studio|Tennis Court|Room Service|Golf Course|Rooftop Lounge,14
H62,Okura Manila Commercial Zone Boutique Hotel,Manila,Commercial Zone,1.5,161,4.5,3193,Business Center|Laundry|Safe|Minibar|Gym|Beach Access|Garden,33
H63,Park Hyatt City Hotel Mauritius,Mauritius,Old Town,32.5,98,2.8,1255,Balcony|Kitchen|Cinema Room|24hr Front Desk|Business Center,71
H64,Paramount Residence Buenos Aires,Buenos Aires,University Area,26.4,362,4.3,1981,Restaurant|Cinema Room|Laundry|Golf Course|Room Service|24hr Front Desk|Safe,67
H65,Langham Plaza Perth,Perth,Commercial Zone,10.4,69,2.3,749,Restaurant|Pet Friendly,65
H66,Banyan Tree Suites Vancouver,Vancouver,Waterfront,22.2,391,4.6,2958,Yoga Studio|Breakfast Included|Kids Club|EV Charging|Business Center|Wheelchair Accessible|Room Service|Golf Course,64
H67,Oaks Hotels Boutique Hotel San Francisco,San Francisco,Fishermans Wharf,16.8,335,4.7,3034,Golf Course|Pool|Wheelchair Accessible|Business Center|WiFi|Safe|Airport Shuttle,1
H68,Westin Palace Buenos Aires,Buenos Aires,Downtown,19.8,181,4.1,1538,Yoga Studio|Pet Friendly|Concierge|Minibar|WiFi|Hot Tub|Kitchen|Spa,61
H69,APA Hotel Lodge Doha,Doha,Residential Area,33.0,199,4.1,4034,Bar|Wheelchair Accessible|Yoga Studio|Breakfast Included,44
H70,Sheraton Collection Cape Town,Cape Town,Airport Area,27.7,461,3.9,9420,Rooftop Lounge|Non-Smoking|Gym|Concierge|Parking|Pet Friendly|Minibar,59
H71,InterContinental Mexico City Waterfront Suites,Mexico City,Waterfront,3.3,186,3.6,1250,Safe|Golf Course|Parking|Bar|Restaurant,42
H72,JW Marriott Inn Dublin,Dublin,University Area,32.5,51,2.9,979,EV Charging|Safe|Tennis Court,21
H73,Peninsula Suites Istanbul,Istanbul,Taksim,17.0,911,4.4,1735,Gym|Kids Club|Garden|Kitchen|EV Charging|Balcony|WiFi|Rooftop Lounge|Wheelchair Accessible|Library|24hr Front Desk|Pool|Hot Tub|Parking|Cinema Room|Minibar,75
H74,Oaks Hotels Frankfurt Bockenheim Hotel,Frankfurt,Bockenheim,2.9,298,3.7,3875,Sauna|Coworking Space|Restaurant|Beach Access|Cinema Room|Non-Smoking|Tennis Court|Breakfast Included,4
H75,Shilla Grand Mumbai,Mumbai,Juhu,28.3,105,4.7,8993,Pet Friendly|Balcony|Yoga Studio|Spa|Room Service|Breakfast Included|Concierge|Rooftop Lounge,47
H76,Courtyard by Marriott Airport Hotel Busan,Busan,Downtown,2.9,796,4.5,9067,Library|Beach Access|Wheelchair Accessible|Pool|Safe|Hot Tub|Yoga Studio|Non-Smoking|Breakfast Included|Bar|Sauna|Concierge|Tennis Court,48
H77,Ramada Bogota City Center Collection,Bogota,City Center,16.9,473,4.0,3504,Bar|Garden|Concierge|Parking|Cinema Room|Coworking Space|Sauna|Breakfast Included|Laundry|Spa,60
H78,Tokyu Boutique Hotel Dubai,Dubai,Marina,25.9,174,3.6,8856,Hot Tub|Rooftop Lounge|Library|Business Center|24hr Front Desk|Yoga Studio|Restaurant,18
H79,Oberoi Residence Helsinki,Helsinki,Waterfront,7.2,258,3.6,8386,Spa|Yoga Studio|Rooftop Lounge|Tennis Court|Hot Tub|Restaurant|Laundry|WiFi|Minibar|Coworking Space|24hr Front Desk,55
H80,Pan Pacific Grand Detroit,Detroit,City Center,29.6,468,4.7,6281,Rooftop Lounge|Restaurant|Coworking Space|Beach Access|Garden|Bar|Golf Course|Library|Sauna|Spa|Pool|Balcony,45
H81,Movenpick Boutique Hotel Rio de Janeiro,Rio de Janeiro,City Center,31.1,69,3.3,491,Parking|Bar|Safe|Kitchen|Spa|Concierge,64
H82,Mandarin Oriental Suites Bahrain,Bahrain,University Area,28.7,76,3.4,4222,Safe|Restaurant|Kids Club|24hr Front Desk|Minibar|Beach Access,62
H83,COMO Collection Madrid,Madrid,Business District,20.6,990,4.5,10811,WiFi|Laundry|Gym|Garden|24hr Front Desk|Room Service|Airport Shuttle|Kitchen|Rooftop Lounge,67
H84,Centara Boutique Hotel Sao Paulo,Sao Paulo,Residential Area,7.2,258,4.6,7557,Room Service|WiFi|Spa|Laundry|Pet Friendly|Business Center|Cinema Room|Concierge|Minibar|Yoga Studio|Gym|Restaurant,74
H85,Movenpick Beach Resort Portland,Portland,Airport Area,12.1,385,4.2,7543,Kids Club|Spa|Gym|Yoga Studio|Hot Tub|WiFi|Laundry|24hr Front Desk|Cinema Room|Rooftop Lounge,33
H86,Ramada Auckland Suburbs Grand,Auckland,Suburbs,14.9,397,3.9,4030,Parking|EV Charging|Spa|WiFi|Yoga Studio|Gym|24hr Front Desk|Golf Course|Library|Minibar|Pool|Hot Tub,50
H87,FIVE Hotels Palace Hanoi,Hanoi,Old Town,28.8,227,4.0,9719,Business Center|Kitchen|Hot Tub|Parking|Rooftop Lounge|Concierge|Pet Friendly|Wheelchair Accessible|Sauna,33
H88,Dorchester Collection Palace Los Angeles,Los Angeles,Pasadena,25.7,382,3.7,3734,Minibar|Kitchen|24hr Front Desk|Library|Concierge|Wheelchair Accessible|Safe|Garden|Airport Shuttle|Parking,33
H89,Pullman Rome Prati Lodge,Rome,Prati,33.5,199,4.5,2205,Airport Shuttle|Hot Tub|Parking|Rooftop Lounge|Golf Course|Non-Smoking|Room Service|Pool|WiFi,71
H90,FIVE Hotels Collection Santiago,Santiago,Residential Area,7.8,130,3.6,1947,Golf Course|Breakfast Included|Kitchen|Coworking Space|Laundry|Beach Access|Minibar|Pet Friendly,15
H91,Citadines Suites Bahrain,Bahrain,Airport Area,7.4,51,3.2,4413,Kids Club|Coworking Space|Concierge|Garden|Bar|Minibar|Sauna|Safe,3
H92,Kempinski Tokyo Akihabara Resort,Tokyo,Akihabara,18.7,307,4.7,3301,Beach Access|Sauna|Balcony|24hr Front Desk|Garden|Gym|Cinema Room|Pet Friendly,12
H93,Marriott Tower Bogota,Bogota,Residential Area,30.7,342,4.2,7599,Coworking Space|Restaurant|Hot Tub|Bar|Breakfast Included|Wheelchair Accessible|Pet Friendly|Laundry|Rooftop Lounge|Golf Course|Kids Club|Parking|Beach Access|24hr Front Desk|Business Center,15
H94,Langham Collection Wellington,Wellington,Airport Area,17.4,373,4.8,7774,Sauna|Room Service|WiFi|Golf Course|Wheelchair Accessible|Concierge|Pool|Garden|Gym|Beach Access|Minibar|Safe|Kids Club|Pet Friendly|24hr Front Desk|Laundry,49
H95,JW Marriott Tower Copenhagen,Copenhagen,Commercial Zone,15.2,83,3.9,4017,Kitchen|Gym|Restaurant|Spa,50
H96,Lotte Rome Trastevere Palace,Rome,Trastevere,7.9,856,4.4,8878,Room Service|Kitchen|Pool|Garden|Laundry|EV Charging|Restaurant|Airport Shuttle|Tennis Court|Golf Course|Coworking Space|WiFi,57
H97,FIVE Hotels Suites Nairobi,Nairobi,Residential Area,4.2,93,4.0,3815,Pet Friendly|Coworking Space|Tennis Court|WiFi|Bar|Concierge|Room Service,72
H98,InterContinental Hotel Tel Aviv,Tel Aviv,Downtown,21.3,913,4.1,9182,WiFi|Gym|Concierge|Airport Shuttle|Garden|Wheelchair Accessible|Bar|Sauna|Non-Smoking|Library|Spa|Restaurant|EV Charging,48
H99,Wyndham Collection Auckland,Auckland,Waterfront,32.2,470,4.2,429,Concierge|Minibar|Golf Course|Coworking Space|Laundry|WiFi|Pet Friendly,71
H100,Paramount Chicago Business District Plaza,Chicago,Business District,6.9,161,3.7,4293,Parking|Breakfast Included|Coworking Space|Pet Friendly|Minibar|WiFi|Spa|Concierge,29
H101,Rocco Forte Plaza Vancouver,Vancouver,Old Town,16.9,314,3.5,8792,Golf Course|Kids Club|Gym|Spa|Tennis Court|Bar|Pool|Kitchen|Laundry|WiFi|Hot Tub|Parking,32
H102,Citadines Lisbon Old Town Inn,Lisbon,Old Town,22.8,74,4.2,1587,Coworking Space|Breakfast Included|Safe|Airport Shuttle|Kitchen|Kids Club|Hot Tub,30
H103,W Hotel Madrid Business District Beach Resort,Madrid,Business District,10.2,474,4.6,4390,Breakfast Included|Kitchen|Pool|Balcony|Minibar|Yoga Studio,30
H104,Mercure Tower Hong Kong,Hong Kong,Wan Chai,18.7,108,3.9,4442,Restaurant|Sauna|Kids Club|Beach Access|Airport Shuttle|Wheelchair Accessible|Rooftop Lounge,14
H105,Swissotel Miami Brickell Residence,Miami,Brickell,15.8,156,4.1,3653,Sauna|Room Service|Balcony|Minibar|Garden|Gym|Restaurant,9
H106,JW Marriott Residence Chennai,Chennai,Residential Area,21.5,276,4.6,1193,Restaurant|Concierge|Breakfast Included|Room Service|WiFi|Pool|Business Center|Garden,76
H107,Hampton Inn Plaza Athens,Athens,Downtown,16.6,254,4.4,4935,Restaurant|Spa|Parking|Garden|Sauna|Rooftop Lounge|Hot Tub|24hr Front Desk|Yoga Studio|Beach Access|Safe|Wheelchair Accessible,40
H108,Centara Helsinki Downtown Hotel,Helsinki,Downtown,29.9,60,4.0,3814,Kitchen|Minibar|EV Charging|WiFi|Airport Shuttle,39
H109,Lotte Cebu Suburbs Plaza,Cebu,Suburbs,7.2,132,3.9,7369,Laundry|Coworking Space|Yoga Studio|Breakfast Included|Bar|Garden|Pool|Restaurant|Safe|EV Charging|24hr Front Desk|Beach Access,41
H110,Lotte Resort Lima,Lima,Old Town,2.8,59,4.1,1237,Kitchen|Wheelchair Accessible|Room Service|Rooftop Lounge|Beach Access|Golf Course,38
H111,FIVE Hotels Hotel Sao Paulo,Sao Paulo,Downtown,24.6,250,4.9,8537,Room Service|Breakfast Included|Spa|Library|WiFi|Kitchen|Bar|Beach Access|EV Charging|Business Center,70
H112,Pullman Miami South Beach Airport Hotel,Miami,South Beach,29.0,1111,4.7,4061,Airport Shuttle|Parking|Kitchen|Rooftop Lounge|Minibar|Beach Access|Yoga Studio|WiFi|Library|Garden|Pool|Sauna,18
H113,Radisson Mauritius Suburbs Collection,Mauritius,Suburbs,14.9,275,4.5,614,Bar|Golf Course|Parking|Minibar|Pool|Rooftop Lounge|Spa|Non-Smoking|Hot Tub,62
H114,Mandarin Oriental Paris Saint-Germain City Hotel,Paris,Saint-Germain,5.6,502,4.5,3389,Non-Smoking|Library|Pool|Tennis Court|Minibar|Cinema Room|Spa|Beach Access|Airport Shuttle|Balcony|Parking|Yoga Studio|Hot Tub|Kids Club|24hr Front Desk,24
H115,Rotana Suva City Center Residence,Suva,City Center,28.9,183,3.5,4449,Golf Course|WiFi|Laundry|Room Service|Pool|Tennis Court,24
H116,St Regis Grand San Francisco,San Francisco,Marina,21.2,99,3.5,3949,Library|EV Charging|Beach Access|Breakfast Included|Safe|Business Center,53
H117,Pan Pacific Collection Muscat,Muscat,Commercial Zone,20.9,429,4.3,10494,Spa|Garden|Balcony|Pet Friendly|Safe|Rooftop Lounge|WiFi|Sauna|Restaurant|Breakfast Included|Room Service|Kids Club|Library|Yoga Studio,62
H118,Banyan Tree Airport Hotel Detroit,Detroit,Waterfront,15.5,462,4.9,12171,Business Center|Pet Friendly|Concierge|Non-Smoking|Minibar|Hot Tub|Safe|Balcony|Library|Wheelchair Accessible|Rooftop Lounge|Golf Course|Kitchen,19
H119,DoubleTree Grand Istanbul,Istanbul,Beyoglu,4.0,96,3.7,1890,24hr Front Desk|Cinema Room|Garden|Room Service|Airport Shuttle,34
H120,Atlantis Chennai Residential Area Beach Resort,Chennai,Residential Area,32.4,443,4.0,11177,Concierge|Minibar|Breakfast Included|Beach Access|Safe|24hr Front Desk|Wheelchair Accessible|Airport Shuttle|Laundry|Rooftop Lounge|Non-Smoking,66
H121,Four Seasons Resort Hanoi,Hanoi,Residential Area,27.8,246,3.7,7163,Rooftop Lounge|Spa|Balcony|Laundry|Parking|WiFi|Concierge|Bar,67
H122,Anantara Suites Santiago,Santiago,Residential Area,17.6,96,3.1,3348,Airport Shuttle|Bar|Garden|Restaurant,18
H123,Kempinski Grand Kathmandu,Kathmandu,Commercial Zone,10.1,744,4.8,10098,Safe|Yoga Studio|Cinema Room|Parking|Spa|Restaurant|Rooftop Lounge|Sauna|Kitchen|Beach Access|Wheelchair Accessible|Room Service|Hot Tub|Golf Course,29
H124,Fraser Suites Collection Manchester,Manchester,Waterfront,6.3,185,3.6,2661,Balcony|Breakfast Included|Room Service|Hot Tub,13
H125,Centara Taipei Business District Beach Resort,Taipei,Business District,7.5,379,4.7,4433,Gym|Kids Club|Non-Smoking|Cinema Room|Hot Tub|Restaurant|Bar|Spa|Kitchen|Golf Course|Parking,16
H126,Movenpick Hotel Cancun,Cancun,Waterfront,9.6,179,4.3,2641,Airport Shuttle|Balcony|Safe|Sauna|Wheelchair Accessible|Gym|EV Charging|Breakfast Included|Tennis Court|Library,13
H127,St Regis Raleigh Business District Tower,Raleigh,Business District,18.5,765,5.0,10649,Gym|Garden|Pet Friendly|Sauna|Yoga Studio|WiFi|Balcony|Room Service|Pool|24hr Front Desk|Non-Smoking|Spa|Rooftop Lounge|Parking,52
H128,Tokyu Collection Anchorage,Anchorage,Residential Area,2.5,163,3.8,4471,Balcony|Garden|Golf Course|Minibar|Laundry|Pet Friendly,70
H129,Okura Denver Residential Area Tower,Denver,Residential Area,1.7,91,2.5,842,Wheelchair Accessible|Business Center,26
H130,FIVE Hotels Boutique Hotel Shenzhen,Shenzhen,City Center,2.8,913,4.4,2054,Coworking Space|Cinema Room|Non-Smoking|Spa|Sauna|EV Charging|Restaurant|Wheelchair Accessible|WiFi|Safe|Gym|Airport Shuttle|Yoga Studio,77
H131,Anantara Boutique Hotel Sapporo,Sapporo,Downtown,18.8,185,3.9,1700,Gym|Hot Tub|Golf Course|Bar|Cinema Room|Coworking Space|Tennis Court,18
H132,Hyatt Lima Business District Plaza,Lima,Business District,19.3,177,3.9,896,Parking|Restaurant|Cinema Room|Sauna|Coworking Space,24
H133,Four Seasons Grand Manchester,Manchester,Old Town,23.7,1038,4.9,5371,Safe|Laundry|Business Center|Coworking Space|Kids Club|Balcony|Hot Tub|EV Charging|Sauna|Pool,26
H134,Pullman Hotel Hyderabad,Hyderabad,Downtown,11.1,1118,4.1,2373,Balcony|Bar|Safe|Library|Pool|Spa|Garden|Non-Smoking|Beach Access|Hot Tub|Cinema Room|WiFi|Rooftop Lounge|Coworking Space|Gym,8
H135,Rosewood Hotel Budapest,Budapest,Suburbs,23.1,306,3.7,3980,Parking|WiFi|Yoga Studio|Tennis Court|Non-Smoking|Golf Course,17
H136,Fraser Suites Airport Hotel Chennai,Chennai,University Area,8.5,1049,4.2,13507,Airport Shuttle|Restaurant|Non-Smoking|Wheelchair Accessible|Coworking Space|Hot Tub|EV Charging|Safe|Pool|Minibar|24hr Front Desk|Concierge|Bar|Golf Course|Cinema Room,73
H137,Kempinski Abu Dhabi Airport Area Grand,Abu Dhabi,Airport Area,30.0,386,4.6,4974,Spa|Breakfast Included|Wheelchair Accessible|Coworking Space|Balcony|EV Charging,56
H138,Sheraton Resort Dublin,Dublin,City Center,26.9,165,4.0,4777,Beach Access|Balcony|Concierge|Pool,22
H139,Corinthia Beach Resort Prague,Prague,Commercial Zone,20.4,202,4.1,5159,Kitchen|Airport Shuttle|Spa|Safe|Business Center|EV Charging,53
H140,Movenpick Mumbai Nariman Point Boutique Hotel,Mumbai,Nariman Point,13.6,36,2.9,395,Tennis Court|24hr Front Desk,49
H141,Radisson Collection Nairobi,Nairobi,Old Town,26.6,143,3.7,1506,Safe|Non-Smoking|Pet Friendly|WiFi|Spa,78
H142,Shangri-La Beach Resort Budapest,Budapest,Old Town,34.4,187,4.3,6419,Minibar|WiFi|Parking|Safe|Kitchen|Coworking Space|Laundry|Spa|Wheelchair Accessible|Gym,65
H143,ibis Palace New York,New York,Upper East Side,11.2,469,3.5,8708,24hr Front Desk|Tennis Court|Beach Access|Concierge|Gym|Safe|Pet Friendly|WiFi|EV Charging|Kitchen|Parking,16
H144,Belmond Athens Residential Area Residence,Athens,Residential Area,1.4,297,3.5,1223,Safe|Laundry|WiFi|Tennis Court|Airport Shuttle|Concierge|Yoga Studio|Non-Smoking|Breakfast Included|Kids Club,1
H145,NH Hotels Helsinki Downtown Boutique Hotel,Helsinki,Downtown,27.0,265,4.8,2685,Pool|Library|Balcony|Parking|Wheelchair Accessible|Non-Smoking,33
